Proxy,Protocol,Country,Country Code,Flag,Fraud Score,Risk,VPN,ISP,Latency (ms)
68.71.251.134:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,442
185.178.185.100:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,12754
72.205.0.67:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1072
199.66.183.251:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,913
199.66.182.243:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,919
200.16.211.68:4153,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,2649
67.201.58.190:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,428
184.170.251.30:11288,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,915
192.252.216.86:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,922
110.38.234.74:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6367
185.147.69.48:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,6589
68.71.240.210:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,422
68.71.243.14:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,428
107.181.161.81:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,439
192.252.210.233:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,922
142.54.237.34:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,438
142.54.232.6:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,449
184.170.249.65:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,923
192.252.214.20:15864,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,916
192.252.215.2:4145,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,917
147.45.60.110:1082,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,4597
67.201.33.10:25283,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,450
160.155.90.26:1080,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,7211
192.111.137.37:18762,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,933
192.111.137.34:18765,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,920
184.178.172.5:15303,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,1049
198.8.94.174:39078,SOCKS4,Unknown,N/A,🏳️,N/A,Unknown,Unknown,Unknown,920
